experiment,instance,color_limit,use_degree,use_mrv,use_forward,use_lcv,success,aborted,time_ms,backtracks,explored_nodes
experiment_1,small_map,1,1,1,1,0,0,0,0.001584,1,1
experiment_1,small_map,2,1,1,1,0,0,0,0.003292,3,6
experiment_1,small_map,3,1,1,1,0,0,0,0.013625,22,66
experiment_1,small_map,4,1,1,1,0,1,0,0.005292,0,23
experiment_2,le450_5a.col,5,1,1,1,0,1,0,178.752708,74398,373340
experiment_2,le450_5a.col,15,1,1,1,0,1,0,1.040250,0,2193
experiment_2,le450_5a.col,25,1,1,1,0,1,0,1.227750,0,2193
experiment_2,le450_15b.col,5,1,1,1,0,0,0,1.290334,206,1030
experiment_2,le450_15b.col,15,1,1,1,0,0,1,2500.193417,2452924,36796895
experiment_2,le450_15b.col,25,1,1,1,0,1,0,1.291791,0,3407
experiment_2,le450_25a.col,5,1,1,1,0,0,0,1.386583,206,1030
experiment_2,le450_25a.col,15,1,1,1,0,0,1,2500.039250,535840,8037722
experiment_2,le450_25a.col,25,1,1,1,0,1,0,1.197417,0,4431
experiment_3,plain_backtracking,5,0,0,0,0,0,1,2500.002667,18215346,91077084
experiment_3,degree_descending,5,1,0,0,0,0,1,2500.001584,17639162,88195955
experiment_3,mrv,5,0,1,0,0,1,0,1930.311750,80671,404705
experiment_3,forward_checking,5,0,0,1,0,0,1,2500.036875,1364908,6824662
experiment_3,fc_mrv,5,0,1,1,0,1,0,163.702042,74398,373340
experiment_3,fc_mrv_lcv,5,0,1,1,1,1,0,75.149375,44827,48572
experiment_4,V100_D0.06,20,1,1,1,0,1,0,0.196916,0,239
experiment_4,V100_D0.16,20,1,1,1,0,1,0,0.195042,0,373
experiment_4,V200_D0.06,20,1,1,1,0,1,0,0.400000,0,600
experiment_4,V200_D0.16,20,1,1,1,0,1,0,0.403416,0,1125
experiment_4,V300_D0.06,20,1,1,1,0,1,0,0.642833,0,1220
experiment_4,V300_D0.16,20,1,1,1,0,1,0,0.651875,0,2270
experiment_4,V400_D0.06,20,1,1,1,0,1,0,0.880375,0,1844
experiment_4,V400_D0.16,20,1,1,1,0,1,0,0.979542,0,3665
experiment_4,V500_D0.06,20,1,1,1,0,1,0,1.727958,0,2633
experiment_4,V500_D0.16,20,1,1,1,0,0,1,30000.291083,16003647,320075770
experiment_5,le450_15b.col,5,1,1,1,0,0,0,1.195750,206,1030
experiment_5,le450_15b.col,10,1,1,1,0,0,1,2500.015833,647670,6476754
experiment_5,le450_15b.col,15,1,1,1,0,0,1,2500.198417,2773105,41599612
experiment_5,le450_15b.col,20,1,1,1,0,1,0,1.000250,0,3407
experiment_5,le450_15b.col,25,1,1,1,0,1,0,1.183666,0,3407
